Название,Цена,Наличие,Описание,Доставка,Изображение
Молоко,50,100,Продуктовое молоко 3.2%,Да,C:\Users\alex-\Desktop\Фото товаров\молоко.png
Яйца,70,50,Куриные яйца,Да,
Хлеб,30,80,Белый хлеб,Да,C:\Users\alex-\Desktop\Фото товаров\хлеб.jpg
Яблоки,80,120,Красные яблоки,Да,
Бананы,60,90,Бананы средние,Да,
Помидоры,100,70,Помидоры свежие,Да,
Огурцы,90,60,Огурцы оранжерейные,Да,
Картофель,40,150,Картофель новый,Да,
Макароны,25,200,Макароны "Спагетти",Да,
Рис,45,100,Рис белый,Да,
Сахар,35,120,Сахар-песок,Да,
Соль,20,150,Соль поваренная,Да,
Масло растительное,65,80,Масло подсолнечное,Да,C:\Users\alex-\Desktop\Фото товаров\МАсло.jpg
Колбаса,150,40,Колбаса вареная,Да,
Сыр,120,60,Сыр твердый,Да,C:\Users\alex-\Desktop\Фото товаров\Сыр.png
Йогурт,55,100,Натуральный йогурт,Да,
Кефир,45,90,Кефир обезжиренный,Да,C:\Users\alex-\Desktop\Фото товаров\Кефир.jpeg
Печенье,40,120,Печенье овсяное,Да,
Чай,50,80,Чай черный,Да,
Кофе,80,70,Кофе молотый,Да,
